Title,Poem,Poet,Emotion
"Sonnet 40: Take all my loves, my love, yea, take them all","Take all my loves, my love, yea, take them all:What hast thou then more than thou hadst before?No love, my love, that thou mayst true love call—All mine was thine before thou hadst this more.Then if for my love thou my love receivest,I cannot blame thee for my love thou usest;But yet be blamed if thou this self deceivestBy wilful taste of what thyself refusest.I do forgive thy robb’ry, gentle thief,Although thou steal thee all my poverty;And yet love knows it is a greater griefTo bear love’s wrong than hate’s known injury.    Lascivious grace, in whom all ill well shows,    Kill me with spites, yet we must not be foes.",William Shakespeare,Love
Sonnet 34: Why didst thou promise such a beauteous day,"Why didst thou promise such a beauteous day,And make me travel forth without my cloak,To let base clouds o’ertake me in my way,Hiding thy bravery in their rotten smoke?‘Tis not enough that through the cloud thou break,To dry the rain on my storm-beaten face,For no man well of such a salve can speakThat heals the wound and cures not the disgrace:Nor can thy shame give physic to my grief;Though thou repent, yet I have still the loss:The offender’s sorrow lends but weak reliefTo him that bears the strong offence’s cross.   Ah! but those tears are pearl which thy love sheds,   And they are rich and ransom all ill deeds.",William Shakespeare,Sadness
"Sonnet 53: What is your substance, whereof are you made","What is your substance, whereof are you made,That millions of strange shadows on you tend?Since every one hath, every one, one shade,And you, but one, can every shadow lend.Describe Adonis, and the counterfeitIs poorly imitated after you;On Helen's cheek all art of beauty set,And you in Grecian tires are painted new.Speak of the spring and foison of the year:The one doth shadow of your beauty show,The other as your bounty doth appear;And you in every blessèd shape we know.    In all external grace you have some part,    But you like none, none you, for constant heart.",William Shakespeare,Joy
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?Thou art more lovely and more temperate:Rough winds do shake the darling buds of May,And summer’s lease hath all too short a date;Sometime too hot the eye of heaven shines,And often is his gold complexion dimm'd;And every fair from fair sometime declines,By chance or nature’s changing course untrimm'd;But thy eternal summer shall not fade,Nor lose possession of that fair thou ow’st;Nor shall death brag thou wander’st in his shade,When in eternal lines to time thou grow’st:   So long as men can breathe or eyes can see,   So long lives this, and this gives life to thee.",William Shakespeare,Joy
Song: “It was a lover and his lass”,"(from As You Like It)It was a lover and his lass,    With a hey, and a ho, and a hey nonino, That o’er the green cornfield did pass,    In springtime, the only pretty ring time, When birds do sing, hey ding a ding, ding; Sweet lovers love the spring",William Shakespeare,Love
Speech: “All the world’s a stage”,"(from As You Like It, spoken by Jaques)                                        All the world’s a stage,",William Shakespeare,Fear
Song: “Orpheus with his lute made trees”,"(from Henry VIII)Orpheus with his lute made trees, And the mountain tops that freeze, Bow themselves when he did sing:To his music plants and flowers Ever sprung; as sun and showers There had made a lasting spring. Every thing that heard him play, Even the billows of the sea, Hung their heads, and then lay by. In sweet music is such art, Killing care and grief of heart Fall asleep, or hearing, die.",William Shakespeare,Love
"Song of the Witches: “Double, double toil and trouble”","(from Macbeth)Double, double toil and trouble;Fire burn and caldron bubble.Fillet of a fenny snake,In the caldron boil and bake;Eye of newt and toe of frog,Wool of bat and tongue of dog,Adder's fork and blind-worm's sting,Lizard's leg and howlet's wing,For a charm of powerful trouble,Like a hell-broth boil and bubble.Double, double toil and trouble;Fire burn and caldron bubble.Cool it with a baboon's blood,Then the charm is firm and good.",William Shakespeare,Joy
Speech: “No matter where; of comfort no man speak”,"(from Richard II, spoken by King Richard)No matter where; of comfort no man speak:Let’s talk of graves, of worms, and epitaphs;Make dust our paper and with rainy eyesWrite sorrow on the bosom of the earth,Let’s choose executors and talk of wills:And yet not so, for what can we bequeathSave our deposed bodies to the ground?Our lands, our lives and all are Bolingbroke’s,And nothing can we call our own but deathAnd that small model of the barren earthWhich serves as paste and cover to our bones.For God’s sake, let us sit upon the groundAnd tell sad stories of the death of kings;How some have been deposed; some slain in war,Some haunted by the ghosts they have deposed;Some poison’d by their wives: some sleeping kill’d;All murder’d: for within the hollow crownThat rounds the mortal temples of a kingKeeps Death his court and there the antic sits,Scoffing his state and grinning at his pomp,Allowing him a breath, a little scene,To monarchize, be fear’d and kill with looks,Infusing him with self and vain conceit,As if this flesh which walls about our life,Were brass impregnable, and humor’d thusComes at the last and with a little pinBores through his castle wall, and farewell king!Cover your heads and mock not flesh and bloodWith solemn reverence: throw away respect,Tradition, form and ceremonious duty,For you have but mistook me all this while:I live with bread like you, feel want,Taste grief, need friends: subjected thus,How can you say to me, I am a king?",William Shakespeare,Sadness
"Sonnet 65: Since brass, nor stone, nor earth, nor boundless sea","Since brass, nor stone, nor earth, nor boundless seaBut sad mortality o’er-sways their power,How with this rage shall beauty hold a plea,Whose action is no stronger than a flower?O, how shall summer’s honey breath hold outAgainst the wrackful siege of batt’ring days,When rocks impregnable are not so stout,Nor gates of steel so strong, but time decays?O fearful meditation! where, alack,Shall time’s best jewel from time’s chest lie hid?Or what strong hand can hold his swift foot back?Or who his spoil of beauty can forbid?   O, none, unless this miracle have might,   That in black ink my love may still shine bright.",William Shakespeare,Fear
Sonnet 64: When I have seen by Time's fell hand defac'd,"When I have seen by Time's fell hand defac'dThe rich proud cost of outworn buried age;When sometime lofty towers I see down-ras'dAnd brass eternal slave to mortal rage;When I have seen the hungry ocean gainAdvantage on the kingdom of the shore,And the firm soil win of the wat'ry main,Increasing store with loss and loss with store;When I have seen such interchange of state,Or state itself confounded to decay;Ruin hath taught me thus to ruminate,That Time will come and take my love away.This thought is as a death, which cannot chooseBut weep to have that which it fears to lose.",William Shakespeare,Surprise
"Song: “Blow, blow, thou winter wind”","Blow, blow, thou winter wind,    Thou art not so unkind       As man’s ingratitude;    Thy tooth is not so keen, Because thou art not seen,       Although thy breath be rude. Heigh-ho! sing, heigh-ho! unto the green holly: Most friendship is feigning, most loving mere folly:    Then, heigh-ho, the holly!       This life is most jolly.",William Shakespeare,Joy
"Song: “Where the bee sucks, there suck I”","(from The Tempest)Where the bee sucks, there suck I: In a cowslip’s bell I lie; There I couch when owls do cry. On the bat’s back I do fly After summer merrily.   Merrily, merrily shall I live now Under the blossom that hangs on the bough.",William Shakespeare,Joy
Sonnet 97: How like a winter hath my absence been,"How like a winter hath my absence beenFrom thee, the pleasure of the fleeting year!What freezings have I felt, what dark days seen!What old December's bareness everywhere!And yet this time remov'd was summer's time,The teeming autumn, big with rich increase,Bearing the wanton burthen of the prime,Like widow'd wombs after their lords' decease:Yet this abundant issue seem'd to meBut hope of orphans and unfather'd fruit;For summer and his pleasures wait on thee,And thou away, the very birds are mute;Or if they sing, 'tis with so dull a cheerThat leaves look pale, dreading the winter's near.",William Shakespeare,Joy
Sonnet 71: No longer mourn for me when I am dead,"No longer mourn for me when I am deadThan you shall hear the surly sullen bellGive warning to the world that I am fledFrom this vile world with vilest worms to dwell; Nay, if you read this line, remember notThe hand that writ it; for I love you so, That I in your sweet thoughts would be forgot, If thinking on me then should make you woe.O, if (I say) you look upon this verse, When I (perhaps) compounded am with clay,Do not so much as my poor name rehearse,But let your love even with my life decay,Lest the wise world should look into your moan, And mock you with me after I am gone.",William Shakespeare,Love
Sonnet 76: Why is my verse so barren of new pride,"Why is my verse so barren of new pride,So far from variation or quick change?Why with the time do I not glance asideTo new-found methods, and to compounds strange?Why write I still all one, ever the same,And keep invention in a noted weed,That every word doth almost tell my name,Showing their birth, and where they did proceed?O know, sweet love, I always write of you,And you and love are still my argument,So all my best is dressing old words new,Spending again what is already spent:   For as the sun is daily new and old,   So is my love still telling what is told.",William Shakespeare,Love
"Sonnet 29: When, in disgrace with fortune and men’s eyes","When, in disgrace with fortune and men’s eyes,I all alone beweep my outcast state,And trouble deaf heaven with my bootless cries,And look upon myself and curse my fate,Wishing me like to one more rich in hope,Featured like him, like him with friends possessed,Desiring this man’s art and that man’s scope,With what I most enjoy contented least;Yet in these thoughts myself almost despising,Haply I think on thee, and then my state,(Like to the lark at break of day arisingFrom sullen earth) sings hymns at heaven’s gate;       For thy sweet love remembered such wealth brings       That then I scorn to change my state with kings.",William Shakespeare,Joy
Sonnet 116: Let me not to the marriage of true minds,"Let me not to the marriage of true minds Admit impediments. Love is not love Which alters when it alteration finds, Or bends with the remover to remove. O no! it is an ever-fixed mark That looks on tempests and is never shaken; It is the star to every wand'ring bark, Whose worth's unknown, although his height be taken. Love's not Time's fool, though rosy lips and cheeks Within his bending sickle's compass come; Love alters not with his brief hours and weeks, But bears it out even to the edge of doom. If this be error and upon me prov'd, I never writ, nor no man ever lov'd.",William Shakespeare,Fear
"Sonnet 104: To me, fair friend, you never can be old","To me, fair friend, you never can be old, For as you were when first your eye I eyed, Such seems your beauty still. Three winters cold Have from the forests shook three summers’ pride, Three beauteous springs to yellow autumn turned In process of the seasons have I seen, Three April perfumes in three hot Junes burned, Since first I saw you fresh, which yet are green. Ah, yet doth beauty, like a dial-hand, Steal from his figure, and no pace perceived; So your sweet hue, which methinks still doth stand, Hath motion, and mine eye may be deceived: For fear of which, hear this, thou age unbred: Ere you were born was beauty’s summer dead.",William Shakespeare,Love
"Speech: “Tomorrow, and tomorrow, and tomorrow”","(from Macbeth, spoken by Macbeth)Tomorrow, and tomorrow, and tomorrow,Creeps in this petty pace from day to day,To the last syllable of recorded time;And all our yesterdays have lighted foolsThe way to dusty death. Out, out, brief candle!Life's but a walking shadow, a poor player,That struts and frets his hour upon the stage,And then is heard no more. It is a taleTold by an idiot, full of sound and fury,Signifying nothing.",William Shakespeare,Anger
"Speech: “Time hath, my lord, a wallet at his back”","(from Troilus and Cressida, spoken by Ulysses)Time hath, my lord, a wallet at his back,Wherein he puts alms for oblivion,A great-sized monster of ingratitudes:Those scraps are good deeds past; which are devour'dAs fast as they are made, forgot as soon As done: perseverance, dear my lord,Keeps honour bright: to have done is to hangQuite out of fashion, like a rusty mailIn monumental mockery. Take the instant way;For honour travels in a strait so narrow,Where one but goes abreast: keep then the path;For emulation hath a thousand sonsThat one by one pursue: if you give way,Or hedge aside from the direct forthright,Like to an enter'd tide, they all rush byAnd leave you hindmost;Or like a gallant horse fall'n in first rank,Lie there for pavement to the abject rear,O'er-run and trampled on: then what they do in present,Though less than yours in past, must o'ertop yours; For time is like a fashionable hostThat slightly shakes his parting guest by the hand,And with his arms outstretch'd, as he would fly,Grasps in the comer: welcome ever smiles,And farewell goes out sighing. O, let not virtue seekRemuneration for the thing it was;For beauty, wit,High birth, vigour of bone, desert in service,Love, friendship, charity, are subjects all To envious and calumniating time.One touch of nature makes the whole world kin,That all with one consent praise new-born gawds,Though they are made and moulded of things past,And give to dust that is a little gilt More laud than gilt o'er-dusted.The present eye praises the present object.Then marvel not, thou great and complete man,That all the Greeks begin to worship Ajax;Since things in motion sooner catch the eye Than what not stirs. The cry went once on thee,And still it might, and yet it may again,If thou wouldst not entomb thyself aliveAnd case thy reputation in thy tent;Whose glorious deeds, but in these fields of late, Made emulous missions 'mongst the gods themselvesAnd drave great Mars to faction.",William Shakespeare,Joy
Song: “Who is Silvia? what is she”,"(from Two Gentlemen of Verona)Who is Silvia? what is she,     That all our swains commend her? Holy, fair, and wise is she;     The heaven such grace did lend her, That she might admirèd be. Is she kind as she is fair?     For beauty lives with kindness. Love doth to her eyes repair,     To help him of his blindness; And, being helped, inhabits there. Then to Silvia let us sing,     That Silvia is excelling; She excels each mortal thing     Upon the dull earth dwelling;  To her let us garlands bring",William Shakespeare,Sadness
The Haunted Palace,"In the greenest of our valleys By good angels tenanted,Once a fair and stately palace— Radiant palace—reared its head.In the monarch Thought’s dominion, It stood there!Never seraph spread a pinion Over fabric half so fair!Banners yellow, glorious, golden, On its roof did float and flow(This—all this—was in the olden Time long ago)And every gentle air that dallied, In that sweet day,Along the ramparts plumed and pallid, A wingèd odor went away.Wanderers in that happy valley, Through two luminous windows, sawSpirits moving musically To a lute’s well-tunèd law,Round about a throne where, sitting, Porphyrogene!In state his glory well befitting, The ruler of the realm was seen.And all with pearl and ruby glowing Was the fair palace door,Through which came flowing, flowing, flowing And sparkling evermore,A troop of Echoes, whose sweet duty Was but to sing,In voices of surpassing beauty, The wit and wisdom of their king.But evil things, in robes of sorrow, Assailed the monarch’s high estate;(Ah, let us mourn!—for never morrow Shall dawn upon him, desolate!)And round about his home the glory That blushed and bloomedIs but a dim-remembered story Of the old time entombed.And travellers, now, within that valley, Through the red-litten windows seeVast forms that move fantastically To a discordant melody;While, like a ghastly rapid river, Through the pale doorA hideous throng rush out forever, And laugh—but smile no more.",Edgar Allan Poe,Love
Annabel Lee,"It was many and many a year ago,    In a kingdom by the sea, That a maiden there lived whom you may know    By the name of Annabel Lee; And this maiden she lived with no other thought    Than to love and be loved by me. I was a child and she was a child,    In this kingdom by the sea, But we loved with a love that was more than love—    I and my Annabel Lee— With a love that the wingèd seraphs of Heaven    Coveted her and me. And this was the reason that, long ago,    In this kingdom by the sea, A wind blew out of a cloud, chilling    My beautiful Annabel Lee; So that her highborn kinsmen came    And bore her away from me, To shut her up in a sepulchre    In this kingdom by the sea. The angels, not half so happy in Heaven,    Went envying her and me— Yes!—that was the reason (as all men know,    In this kingdom by the sea) That the wind came out of the cloud by night,    Chilling and killing my Annabel Lee. But our love it was stronger by far than the love    Of those who were older than we—    Of many far wiser than we— And neither the angels in Heaven above    Nor the demons down under the sea Can ever dissever my soul from the soul    Of the beautiful Annabel Lee; For the moon never beams, without bringing me dreams    Of the beautiful Annabel Lee; And the stars never rise, but I feel the bright eyes    Of the beautiful Annabel Lee; And so, all the night-tide, I lie down by the side    Of my darling—my darling—my life and my bride,    In her sepulchre there by the sea—    In her tomb by the sounding sea.",Edgar Allan Poe,Love
A Dream,"In visions of the dark night    I have dreamed of joy departed—But a waking dream of life and light    Hath left me broken-hearted.Ah! what is not a dream by day    To him whose eyes are castOn things around him with a ray    Turned back upon the past?That holy dream—that holy dream,    While all the world were chiding,Hath cheered me as a lovely beam    A lonely spirit guiding.What though that light, thro' storm and night,    So trembled from afar—What could there be more purely bright In Truth's day-star?",Edgar Allan Poe,Sadness
Dream-Land,"By a route obscure and lonely,   Haunted by ill angels only, Where an Eidolon, named NIGHT,   On a black throne reigns upright, I have reached these lands but newly   From an ultimate dim Thule— From a wild weird clime that lieth, sublime,        Out of SPACE—Out of TIME. Bottomless vales and boundless floods,   And chasms, and caves, and Titan woods,   With forms that no man can discover   For the tears that drip all over;   Mountains toppling evermore   Into seas without a shore;   Seas that restlessly aspire,   Surging, unto skies of fire;   Lakes that endlessly outspread   Their lone waters—lone and dead,—   Their still waters—still and chilly   With the snows of the lolling lily. By the lakes that thus outspread Their lone waters, lone and dead,— Their sad waters, sad and chilly With the snows of the lolling lily,— By the mountains—near the river   Murmuring lowly, murmuring ever,—   By the grey woods,—by the swamp   Where the toad and the newt encamp,—   By the dismal tarns and pools    Where dwell the Ghouls,—   By each spot the most unholy—   In each nook most melancholy,—   There the traveller meets, aghast,   Sheeted Memories of the Past—   Shrouded forms that start and sigh   As they pass the wanderer by—   White-robed forms of friends long given,   In agony, to the Earth—and Heaven. For the heart whose woes are legion   ’T is a peaceful, soothing region—   For the spirit that walks in shadow   ’T is—oh, ’t is an Eldorado! But the traveller, travelling through it,   May not—dare not openly view it;   Never its mysteries are exposed   To the weak human eye unclosed;   So wills its King, who hath forbid   The uplifting of the fring'd lid;   And thus the sad Soul that here passes   Beholds it but through darkened glasses. By a route obscure and lonely,   Haunted by ill angels only, Where an Eidolon, named NIGHT, On a black throne reigns upright,   I have wandered home but newly   From this ultimate dim Thule.",Edgar Allan Poe,Surprise
“Alone”,"From childhood’s hour I have not been As others were—I have not seen As others saw—I could not bring My passions from a common spring— From the same source I have not taken My sorrow—I could not awaken My heart to joy at the same tone— And all I lov’d—I lov’d alone— Then—in my childhood—in the dawn Of a most stormy life—was drawn From ev’ry depth of good and ill The mystery which binds me still— From the torrent, or the fountain— From the red cliff of the mountain— From the sun that ’round me roll’d In its autumn tint of gold— From the lightning in the sky As it pass’d me flying by— From the thunder, and the storm— And the cloud that took the form (When the rest of Heaven was blue) Of a demon in my view—",Edgar Allan Poe,Fear
Israfel,"And the angel Israfel, whose heart-strings are a lute, and who has the sweetest voice of all God’s creatures. —KORANIn Heaven a spirit doth dwell   “Whose heart-strings are a lute”;   None sing so wildly wellAs the angel Israfel,And the giddy stars (so legends tell),   Ceasing their hymns, attend the spell      Of his voice, all mute.Tottering above   In her highest noon,   The enamoured moonBlushes with love,   While, to listen, the red levin      (With the rapid Pleiads, even,      Which were seven,)   Pauses in Heaven.And they say (the starry choir      And the other listening things)   That Israfeli’s fireIs owing to that lyre   By which he sits and sings—   The trembling living wire   Of those unusual strings.But the skies that angel trod,   Where deep thoughts are a duty,   Where Love’s a grown-up God,   Where the Houri glances are   Imbued with all the beauty   Which we worship in a star.Therefore, thou art not wrong,      Israfeli, who despisestAn unimpassioned song;To thee the laurels belong,   Best bard, because the wisest!   Merrily live, and long!The ecstasies above   With thy burning measures suit—   Thy grief, thy joy, thy hate, thy love,   With the fervour of thy lute—   Well may the stars be mute!Yes, Heaven is thine; but this   Is a world of sweets and sours;   Our flowers are merely—flowers,   And the shadow of thy perfect bliss   Is the sunshine of ours.If I could dwellWhere Israfel   Hath dwelt, and he where I,He might not sing so wildly well   A mortal melody,While a bolder note than this might swell      From my lyre within the sky.",Edgar Allan Poe,Surprise
A Dream Within a Dream,"Take this kiss upon the brow!And, in parting from you now,Thus much let me avow —You are not wrong, who deemThat my days have been a dream;Yet if hope has flown awayIn a night, or in a day,In a vision, or in none,Is it therefore the less gone?  All that we see or seemIs but a dream within a dream.I stand amid the roarOf a surf-tormented shore,And I hold within my handGrains of the golden sand —How few! yet how they creepThrough my fingers to the deep,While I weep — while I weep!O God! Can I not grasp Them with a tighter clasp?O God! can I not saveOne from the pitiless wave?Is all that we see or seemBut a dream within a dream?",Edgar Allan Poe,Fear
Fairy-Land,"Dim vales—and shadowy floods— And cloudy-looking woods, Whose forms we can’t discover For the tears that drip all over: Huge moons there wax and wane— Again—again—again— Every moment of the night— Forever changing places— And they put out the star-light With the breath from their pale faces. About twelve by the moon-dial, One more filmy than the rest (A kind which, upon trial, They have found to be the best) Comes down—still down—and down With its centre on the crown Of a mountain’s eminence, While its wide circumference In easy drapery falls Over hamlets, over halls, Wherever they may be— O’er the strange woods—o’er the sea— Over spirits on the wing— Over every drowsy thing— And buries them up quite In a labyrinth of light— And then, how, deep! —O, deep, Is the passion of their sleep. In the morning they arise, And their moony covering Is soaring in the skies, With the tempests as they toss, Like—almost any thing— Or a yellow Albatross. They use that moon no more For the same end as before, Videlicet, a tent— Which I think extravagant: Its atomies, however, Into a shower dissever, Of which those butterflies Of Earth, who seek the skies, And so come down again (Never-contented things!) Have brought a specimen Upon their quivering wings.",Edgar Allan Poe,Fear
To My Mother,"Because I feel that, in the Heavens above,The angels, whispering to one another,Can find, among their burning terms of love,None so devotional as that of “Mother,”Therefore by that dear name I long have called you—You who are more than mother unto me,And fill my heart of hearts, where Death installed youIn setting my Virginia's spirit free.My mother—my own mother, who died early,Was but the mother of myself; but youAre mother to the one I loved so dearly,And thus are dearer than the mother I knewBy that infinity with which my wifeWas dearer to my soul than its soul-life.",Edgar Allan Poe,Love
